"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","FOOD","IDX2015","A","2005",78.00458,
"AUS","CPI","FOOD","IDX2015","A","2006",85.68983,
"AUS","CPI","FOOD","IDX2015","A","2007",87.10923,
"AUS","CPI","FOOD","IDX2015","A","2008",90.81296,
"AUS","CPI","FOOD","IDX2015","A","2009",93.85717,
"AUS","CPI","FOOD","IDX2015","A","2010",94.92635,
"AUS","CPI","FOOD","IDX2015","A","2011",100.3696,
"AUS","CPI","FOOD","IDX2015","A","2012",96.65887,
"AUS","CPI","FOOD","IDX2015","A","2013",96.87155,
"AUS","CPI","FOOD","IDX2015","A","2014",99.42866,
"AUS","CPI","FOOD","IDX2015","A","2015",100,
"AUS","CPI","FOOD","IDX2015","A","2016",100.2407,
"AUS","CPI","FOOD","IDX2015","A","2017",100.312,
"AUS","CPI","FOOD","IDX2015","A","2018",100.9845,
"AUS","CPI","FOOD","IDX2015","A","2019",105.5115,
"AUS","CPI","FOOD","IDX2015","A","2020",115.3453,
"AUS","CPI","FOOD","IDX2015","A","2021",124.4688,
"AUS","CPI","FOOD","IDX2015","A","2022",134.6338,
"AUT","CPI","FOOD","IDX2015","A","2005",76.91949,
"AUT","CPI","FOOD","IDX2015","A","2006",78.33585,
"AUT","CPI","FOOD","IDX2015","A","2007",81.61721,
"AUT","CPI","FOOD","IDX2015","A","2008",86.75713,
"AUT","CPI","FOOD","IDX2015","A","2009",86.93658,
"AUT","CPI","FOOD","IDX2015","A","2010",87.35316,
"AUT","CPI","FOOD","IDX2015","A","2011",91.08279,
"AUT","CPI","FOOD","IDX2015","A","2012",94.01766,
"AUT","CPI","FOOD","IDX2015","A","2013",97.27296,
"AUT","CPI","FOOD","IDX2015","A","2014",99.18098,
"AUT","CPI","FOOD","IDX2015","A","2015",100,
"AUT","CPI","FOOD","IDX2015","A","2016",100.7333,
"AUT","CPI","FOOD","IDX2015","A","2017",103.1167,
"AUT","CPI","FOOD","IDX2015","A","2018",104.6833,
"AUT","CPI","FOOD","IDX2015","A","2019",105.75,
"AUT","CPI","FOOD","IDX2015","A","2020",108.2157,
"AUT","CPI","FOOD","IDX2015","A","2021",109.0633,
"AUT","CPI","FOOD","IDX2015","A","2022",120.7857,
"BEL","CPI","FOOD","IDX2015","A","2005",78.14083,
"BEL","CPI","FOOD","IDX2015","A","2006",80.1382,
"BEL","CPI","FOOD","IDX2015","A","2007",83.26914,
"BEL","CPI","FOOD","IDX2015","A","2008",88.3284,
"BEL","CPI","FOOD","IDX2015","A","2009",89.07642,
"BEL","CPI","FOOD","IDX2015","A","2010",90.55593,
"BEL","CPI","FOOD","IDX2015","A","2011",93.01985,
"BEL","CPI","FOOD","IDX2015","A","2012",95.90366,
"BEL","CPI","FOOD","IDX2015","A","2013",99.18503,
"BEL","CPI","FOOD","IDX2015","A","2014",98.81226,
"BEL","CPI","FOOD","IDX2015","A","2015",100,
"BEL","CPI","FOOD","IDX2015","A","2016",102.2408,
"BEL","CPI","FOOD","IDX2015","A","2017",103.5293,
"BEL","CPI","FOOD","IDX2015","A","2018",105.7651,
"BEL","CPI","FOOD","IDX2015","A","2019",106.5834,
"BEL","CPI","FOOD","IDX2015","A","2020",109.6548,
"BEL","CPI","FOOD","IDX2015","A","2021",109.2226,
"BEL","CPI","FOOD","IDX2015","A","2022",118.8286,
"CAN","CPI","FOOD","IDX2015","A","2005",74.79785,
"CAN","CPI","FOOD","IDX2015","A","2006",76.49767,
"CAN","CPI","FOOD","IDX2015","A","2007",78.5103,
"CAN","CPI","FOOD","IDX2015","A","2008",81.59712,
"CAN","CPI","FOOD","IDX2015","A","2009",86.06504,
"CAN","CPI","FOOD","IDX2015","A","2010",86.87954,
"CAN","CPI","FOOD","IDX2015","A","2011",90.56248,
"CAN","CPI","FOOD","IDX2015","A","2012",92.69315,
"CAN","CPI","FOOD","IDX2015","A","2013",93.70242,
"CAN","CPI","FOOD","IDX2015","A","2014",96.05737,
"CAN","CPI","FOOD","IDX2015","A","2015",100,
"CAN","CPI","FOOD","IDX2015","A","2016",101.0152,
"CAN","CPI","FOOD","IDX2015","A","2017",99.99409,
"CAN","CPI","FOOD","IDX2015","A","2018",100.8027,
"CAN","CPI","FOOD","IDX2015","A","2019",104.5092,
"CAN","CPI","FOOD","IDX2015","A","2020",107.0176,
"CAN","CPI","FOOD","IDX2015","A","2021",109.3667,
"CAN","CPI","FOOD","IDX2015","A","2022",120.0437,
"CZE","CPI","FOOD","IDX2015","A","2005",75.88333,
"CZE","CPI","FOOD","IDX2015","A","2006",76.53333,
"CZE","CPI","FOOD","IDX2015","A","2007",80.15833,
"CZE","CPI","FOOD","IDX2015","A","2008",86.65833,
"CZE","CPI","FOOD","IDX2015","A","2009",83.21667,
"CZE","CPI","FOOD","IDX2015","A","2010",84.44167,
"CZE","CPI","FOOD","IDX2015","A","2011",88.35,
"CZE","CPI","FOOD","IDX2015","A","2012",94.45834,
"CZE","CPI","FOOD","IDX2015","A","2013",99.1,
"CZE","CPI","FOOD","IDX2015","A","2014",101.1,
"CZE","CPI","FOOD","IDX2015","A","2015",99.98333,
"CZE","CPI","FOOD","IDX2015","A","2016",99.05,
"CZE","CPI","FOOD","IDX2015","A","2017",104.1833,
"CZE","CPI","FOOD","IDX2015","A","2018",105.55,
"CZE","CPI","FOOD","IDX2015","A","2019",108.525,
"CZE","CPI","FOOD","IDX2015","A","2020",113.45,
"CZE","CPI","FOOD","IDX2015","A","2021",114.3583,
"CZE","CPI","FOOD","IDX2015","A","2022",133.45,
"DNK","CPI","FOOD","IDX2015","A","2005",79.21667,
"DNK","CPI","FOOD","IDX2015","A","2006",81.375,
"DNK","CPI","FOOD","IDX2015","A","2007",85.00833,
"DNK","CPI","FOOD","IDX2015","A","2008",91.44167,
"DNK","CPI","FOOD","IDX2015","A","2009",91.35833,
"DNK","CPI","FOOD","IDX2015","A","2010",91.7,
"DNK","CPI","FOOD","IDX2015","A","2011",95.33334,
"DNK","CPI","FOOD","IDX2015","A","2012",99.425,
"DNK","CPI","FOOD","IDX2015","A","2013",99.85,
"DNK","CPI","FOOD","IDX2015","A","2014",98.98333,
"DNK","CPI","FOOD","IDX2015","A","2015",100.0083,
"DNK","CPI","FOOD","IDX2015","A","2016",100.1083,
"DNK","CPI","FOOD","IDX2015","A","2017",102.9167,
"DNK","CPI","FOOD","IDX2015","A","2018",102.9583,
"DNK","CPI","FOOD","IDX2015","A","2019",104.3917,
"DNK","CPI","FOOD","IDX2015","A","2020",105.0583,
"DNK","CPI","FOOD","IDX2015","A","2021",105.6667,
"DNK","CPI","FOOD","IDX2015","A","2022",117.8333,
"FIN","CPI","FOOD","IDX2015","A","2005",78.05976,
"FIN","CPI","FOOD","IDX2015","A","2006",79.12792,
"FIN","CPI","FOOD","IDX2015","A","2007",80.76595,
"FIN","CPI","FOOD","IDX2015","A","2008",87.70965,
"FIN","CPI","FOOD","IDX2015","A","2009",89.48168,
"FIN","CPI","FOOD","IDX2015","A","2010",86.42298,
"FIN","CPI","FOOD","IDX2015","A","2011",91.85283,
"FIN","CPI","FOOD","IDX2015","A","2012",96.59196,
"FIN","CPI","FOOD","IDX2015","A","2013",101.7474,
"FIN","CPI","FOOD","IDX2015","A","2014",101.9008,
"FIN","CPI","FOOD","IDX2015","A","2015",99.99583,
"FIN","CPI","FOOD","IDX2015","A","2016",98.85,
"FIN","CPI","FOOD","IDX2015","A","2017",97.94583,
"FIN","CPI","FOOD","IDX2015","A","2018",99.8375,
"FIN","CPI","FOOD","IDX2015","A","2019",101.0475,
"FIN","CPI","FOOD","IDX2015","A","2020",102.725,
"FIN","CPI","FOOD","IDX2015","A","2021",103.31,
"FIN","CPI","FOOD","IDX2015","A","2022",114.165,
"FRA","CPI","FOOD","IDX2015","A","2005",86.57166,
"FRA","CPI","FOOD","IDX2015","A","2006",88.02084,
"FRA","CPI","FOOD","IDX2015","A","2007",89.29833,
"FRA","CPI","FOOD","IDX2015","A","2008",93.82083,
"FRA","CPI","FOOD","IDX2015","A","2009",93.89417,
"FRA","CPI","FOOD","IDX2015","A","2010",94.63084,
"FRA","CPI","FOOD","IDX2015","A","2011",96.51083,
"FRA","CPI","FOOD","IDX2015","A","2012",99.29916,
"FRA","CPI","FOOD","IDX2015","A","2013",100.4408,
"FRA","CPI","FOOD","IDX2015","A","2014",99.59834,
"FRA","CPI","FOOD","IDX2015","A","2015",100,
"FRA","CPI","FOOD","IDX2015","A","2016",100.5542,
"FRA","CPI","FOOD","IDX2015","A","2017",101.6475,
"FRA","CPI","FOOD","IDX2015","A","2018",103.6475,
"FRA","CPI","FOOD","IDX2015","A","2019",106.1858,
"FRA","CPI","FOOD","IDX2015","A","2020",108.3325,
"FRA","CPI","FOOD","IDX2015","A","2021",108.9983,
"FRA","CPI","FOOD","IDX2015","A","2022",116.9308,
"DEU","CPI","FOOD","IDX2015","A","2005",79.42342,
"DEU","CPI","FOOD","IDX2015","A","2006",81.03551,
"DEU","CPI","FOOD","IDX2015","A","2007",84.11112,
"DEU","CPI","FOOD","IDX2015","A","2008",89.22227,
"DEU","CPI","FOOD","IDX2015","A","2009",88.05592,
"DEU","CPI","FOOD","IDX2015","A","2010",89.15541,
"DEU","CPI","FOOD","IDX2015","A","2011",91.61441,
"DEU","CPI","FOOD","IDX2015","A","2012",94.73459,
"DEU","CPI","FOOD","IDX2015","A","2013",98.38966,
"DEU","CPI","FOOD","IDX2015","A","2014",99.40743,
"DEU","CPI","FOOD","IDX2015","A","2015",100,
"DEU","CPI","FOOD","IDX2015","A","2016",100.8083,
"DEU","CPI","FOOD","IDX2015","A","2017",103.5917,
"DEU","CPI","FOOD","IDX2015","A","2018",105.9583,
"DEU","CPI","FOOD","IDX2015","A","2019",107.2333,
"DEU","CPI","FOOD","IDX2015","A","2020",109.5286,
"DEU","CPI","FOOD","IDX2015","A","2021",112.9148,
"DEU","CPI","FOOD","IDX2015","A","2022",127.0988,
"GRC","CPI","FOOD","IDX2015","A","2005",82.94959,
"GRC","CPI","FOOD","IDX2015","A","2006",86.05356,
"GRC","CPI","FOOD","IDX2015","A","2007",88.84251,
"GRC","CPI","FOOD","IDX2015","A","2008",93.60841,
"GRC","CPI","FOOD","IDX2015","A","2009",95.39282,
"GRC","CPI","FOOD","IDX2015","A","2010",95.45219,
"GRC","CPI","FOOD","IDX2015","A","2011",98.42471,
"GRC","CPI","FOOD","IDX2015","A","2012",99.90645,
"GRC","CPI","FOOD","IDX2015","A","2013",99.9105,
"GRC","CPI","FOOD","IDX2015","A","2014",98.22999,
"GRC","CPI","FOOD","IDX2015","A","2015",100,
"GRC","CPI","FOOD","IDX2015","A","2016",99.77895,
"GRC","CPI","FOOD","IDX2015","A","2017",100.0963,
"GRC","CPI","FOOD","IDX2015","A","2018",100.4953,
"GRC","CPI","FOOD","IDX2015","A","2019",100.3864,
"GRC","CPI","FOOD","IDX2015","A","2020",101.7431,
"GRC","CPI","FOOD","IDX2015","A","2021",103.1279,
"GRC","CPI","FOOD","IDX2015","A","2022",115.2826,
"HUN","CPI","FOOD","IDX2015","A","2005",60.22156,
"HUN","CPI","FOOD","IDX2015","A","2006",65.1439,
"HUN","CPI","FOOD","IDX2015","A","2007",72.92142,
"HUN","CPI","FOOD","IDX2015","A","2008",80.49908,
"HUN","CPI","FOOD","IDX2015","A","2009",83.62837,
"HUN","CPI","FOOD","IDX2015","A","2010",85.95249,
"HUN","CPI","FOOD","IDX2015","A","2011",92.17108,
"HUN","CPI","FOOD","IDX2015","A","2012",97.67588,
"HUN","CPI","FOOD","IDX2015","A","2013",100.2513,
"HUN","CPI","FOOD","IDX2015","A","2014",99.45181,
"HUN","CPI","FOOD","IDX2015","A","2015",100,
"HUN","CPI","FOOD","IDX2015","A","2016",100.3027,
"HUN","CPI","FOOD","IDX2015","A","2017",102.9357,
"HUN","CPI","FOOD","IDX2015","A","2018",107.0751,
"HUN","CPI","FOOD","IDX2015","A","2019",112.5457,
"HUN","CPI","FOOD","IDX2015","A","2020",120.7058,
"HUN","CPI","FOOD","IDX2015","A","2021",124.8687,
"HUN","CPI","FOOD","IDX2015","A","2022",159.5306,
"ISL","CPI","FOOD","IDX2015","A","2005",55.07852,
"ISL","CPI","FOOD","IDX2015","A","2006",59.47419,
"ISL","CPI","FOOD","IDX2015","A","2007",58.82999,
"ISL","CPI","FOOD","IDX2015","A","2008",68.22399,
"ISL","CPI","FOOD","IDX2015","A","2009",80.18472,
"ISL","CPI","FOOD","IDX2015","A","2010",83.58086,
"ISL","CPI","FOOD","IDX2015","A","2011",86.77786,
"ISL","CPI","FOOD","IDX2015","A","2012",92.06232,
"ISL","CPI","FOOD","IDX2015","A","2013",96.75023,
"ISL","CPI","FOOD","IDX2015","A","2014",97.23884,
"ISL","CPI","FOOD","IDX2015","A","2015",100,
"ISL","CPI","FOOD","IDX2015","A","2016",101.3208,
"ISL","CPI","FOOD","IDX2015","A","2017",98.86902,
"ISL","CPI","FOOD","IDX2015","A","2018",101.3288,
"ISL","CPI","FOOD","IDX2015","A","2019",105.1786,
"ISL","CPI","FOOD","IDX2015","A","2020",110.3434,
"ISL","CPI","FOOD","IDX2015","A","2021",114.2191,
"ISL","CPI","FOOD","IDX2015","A","2022",122.4805,
"IRL","CPI","FOOD","IDX2015","A","2005",99.38526,
"IRL","CPI","FOOD","IDX2015","A","2006",100.7684,
"IRL","CPI","FOOD","IDX2015","A","2007",103.5914,
"IRL","CPI","FOOD","IDX2015","A","2008",110.3616,
"IRL","CPI","FOOD","IDX2015","A","2009",106.5356,
"IRL","CPI","FOOD","IDX2015","A","2010",101.6824,
"IRL","CPI","FOOD","IDX2015","A","2011",102.8553,
"IRL","CPI","FOOD","IDX2015","A","2012",103.4377,
"IRL","CPI","FOOD","IDX2015","A","2013",104.5296,
"IRL","CPI","FOOD","IDX2015","A","2014",102.1839,
"IRL","CPI","FOOD","IDX2015","A","2015",100,
"IRL","CPI","FOOD","IDX2015","A","2016",98.66537,
"IRL","CPI","FOOD","IDX2015","A","2017",96.61894,
"IRL","CPI","FOOD","IDX2015","A","2018",94.66149,
"IRL","CPI","FOOD","IDX2015","A","2019",94.03058,
"IRL","CPI","FOOD","IDX2015","A","2020",92.70403,
"IRL","CPI","FOOD","IDX2015","A","2021",92.46947,
"IRL","CPI","FOOD","IDX2015","A","2022",98.85141,
"ITA","CPI","FOOD","IDX2015","A","2005",81.66221,
"ITA","CPI","FOOD","IDX2015","A","2006",83.08266,
"ITA","CPI","FOOD","IDX2015","A","2007",85.46123,
"ITA","CPI","FOOD","IDX2015","A","2008",90.0791,
"ITA","CPI","FOOD","IDX2015","A","2009",91.72794,
"ITA","CPI","FOOD","IDX2015","A","2010",91.87834,
"ITA","CPI","FOOD","IDX2015","A","2011",94.15594,
"ITA","CPI","FOOD","IDX2015","A","2012",96.53799,
"ITA","CPI","FOOD","IDX2015","A","2013",98.82047,
"ITA","CPI","FOOD","IDX2015","A","2014",98.93536,
"ITA","CPI","FOOD","IDX2015","A","2015",100.0153,
"ITA","CPI","FOOD","IDX2015","A","2016",100.2083,
"ITA","CPI","FOOD","IDX2015","A","2017",102.0917,
"ITA","CPI","FOOD","IDX2015","A","2018",103.3417,
"ITA","CPI","FOOD","IDX2015","A","2019",104.1333,
"ITA","CPI","FOOD","IDX2015","A","2020",105.5917,
"ITA","CPI","FOOD","IDX2015","A","2021",106.2,
"ITA","CPI","FOOD","IDX2015","A","2022",115.9083,
"JPN","CPI","FOOD","IDX2015","A","2005",89.92747,
"JPN","CPI","FOOD","IDX2015","A","2006",90.44241,
"JPN","CPI","FOOD","IDX2015","A","2007",90.74556,
"JPN","CPI","FOOD","IDX2015","A","2008",93.42509,
"JPN","CPI","FOOD","IDX2015","A","2009",93.49316,
"JPN","CPI","FOOD","IDX2015","A","2010",93.2293,
"JPN","CPI","FOOD","IDX2015","A","2011",92.70916,
"JPN","CPI","FOOD","IDX2015","A","2012",92.82377,
"JPN","CPI","FOOD","IDX2015","A","2013",92.63863,
"JPN","CPI","FOOD","IDX2015","A","2014",96.55294,
"JPN","CPI","FOOD","IDX2015","A","2015",100,
"JPN","CPI","FOOD","IDX2015","A","2016",102.01,
"JPN","CPI","FOOD","IDX2015","A","2017",102.6712,
"JPN","CPI","FOOD","IDX2015","A","2018",104.3198,
"JPN","CPI","FOOD","IDX2015","A","2019",104.5579,
"JPN","CPI","FOOD","IDX2015","A","2020",105.8098,
"JPN","CPI","FOOD","IDX2015","A","2021",105.7569,
"JPN","CPI","FOOD","IDX2015","A","2022",110.9407,
"KOR","CPI","FOOD","IDX2015","A","2005",69.87947,
"KOR","CPI","FOOD","IDX2015","A","2006",70.24654,
"KOR","CPI","FOOD","IDX2015","A","2007",72.00528,
"KOR","CPI","FOOD","IDX2015","A","2008",75.56981,
"KOR","CPI","FOOD","IDX2015","A","2009",81.29508,
"KOR","CPI","FOOD","IDX2015","A","2010",86.50771,
"KOR","CPI","FOOD","IDX2015","A","2011",93.55092,
"KOR","CPI","FOOD","IDX2015","A","2012",97.25639,
"KOR","CPI","FOOD","IDX2015","A","2013",98.09057,
"KOR","CPI","FOOD","IDX2015","A","2014",98.37737,
"KOR","CPI","FOOD","IDX2015","A","2015",100,
"KOR","CPI","FOOD","IDX2015","A","2016",102.3075,
"KOR","CPI","FOOD","IDX2015","A","2017",105.7844,
"KOR","CPI","FOOD","IDX2015","A","2018",108.7184,
"KOR","CPI","FOOD","IDX2015","A","2019",108.7701,
"KOR","CPI","FOOD","IDX2015","A","2020",113.5834,
"KOR","CPI","FOOD","IDX2015","A","2021",120.2688,
"KOR","CPI","FOOD","IDX2015","A","2022",127.3838,
"LUX","CPI","FOOD","IDX2015","A","2005",79.355,
"LUX","CPI","FOOD","IDX2015","A","2006",81.23666,
"LUX","CPI","FOOD","IDX2015","A","2007",83.9675,
"LUX","CPI","FOOD","IDX2015","A","2008",88.47417,
"LUX","CPI","FOOD","IDX2015","A","2009",89.7375,
"LUX","CPI","FOOD","IDX2015","A","2010",90.51667,
"LUX","CPI","FOOD","IDX2015","A","2011",92.83334,
"LUX","CPI","FOOD","IDX2015","A","2012",95.21667,
"LUX","CPI","FOOD","IDX2015","A","2013",98.68833,
"LUX","CPI","FOOD","IDX2015","A","2014",99.24,
"LUX","CPI","FOOD","IDX2015","A","2015",100.0017,
"LUX","CPI","FOOD","IDX2015","A","2016",101.5308,
"LUX","CPI","FOOD","IDX2015","A","2017",104.39,
"LUX","CPI","FOOD","IDX2015","A","2018",106.6983,
"LUX","CPI","FOOD","IDX2015","A","2019",108.1942,
"LUX","CPI","FOOD","IDX2015","A","2020",111.1442,
"LUX","CPI","FOOD","IDX2015","A","2021",112.14,
"LUX","CPI","FOOD","IDX2015","A","2022",120.0075,
"MEX","CPI","FOOD","IDX2015","A","2005",57.57697,
"MEX","CPI","FOOD","IDX2015","A","2006",59.68272,
"MEX","CPI","FOOD","IDX2015","A","2007",63.63425,
"MEX","CPI","FOOD","IDX2015","A","2008",68.82034,
"MEX","CPI","FOOD","IDX2015","A","2009",74.88926,
"MEX","CPI","FOOD","IDX2015","A","2010",77.36537,
"MEX","CPI","FOOD","IDX2015","A","2011",80.73835,
"MEX","CPI","FOOD","IDX2015","A","2012",87.29628,
"MEX","CPI","FOOD","IDX2015","A","2013",91.81144,
"MEX","CPI","FOOD","IDX2015","A","2014",96.16387,
"MEX","CPI","FOOD","IDX2015","A","2015",100,
"MEX","CPI","FOOD","IDX2015","A","2016",104.4697,
"MEX","CPI","FOOD","IDX2015","A","2017",111.747,
"MEX","CPI","FOOD","IDX2015","A","2018",117.1061,
"MEX","CPI","FOOD","IDX2015","A","2019",122.245,
"MEX","CPI","FOOD","IDX2015","A","2020",130.3394,
"MEX","CPI","FOOD","IDX2015","A","2021",139.7644,
"MEX","CPI","FOOD","IDX2015","A","2022",158.2999,
"NLD","CPI","FOOD","IDX2015","A","2005",84.9725,
"NLD","CPI","FOOD","IDX2015","A","2006",86.36667,
"NLD","CPI","FOOD","IDX2015","A","2007",87.25833,
"NLD","CPI","FOOD","IDX2015","A","2008",92.17083,
"NLD","CPI","FOOD","IDX2015","A","2009",93.16666,
"NLD","CPI","FOOD","IDX2015","A","2010",93.0875,
"NLD","CPI","FOOD","IDX2015","A","2011",95.14917,
"NLD","CPI","FOOD","IDX2015","A","2012",97.07166,
"NLD","CPI","FOOD","IDX2015","A","2013",99.41583,
"NLD","CPI","FOOD","IDX2015","A","2014",99.35667,
"NLD","CPI","FOOD","IDX2015","A","2015",100.0008,
"NLD","CPI","FOOD","IDX2015","A","2016",100.9508,
"NLD","CPI","FOOD","IDX2015","A","2017",103.6408,
"NLD","CPI","FOOD","IDX2015","A","2018",104.4592,
"NLD","CPI","FOOD","IDX2015","A","2019",108.6892,
"NLD","CPI","FOOD","IDX2015","A","2020",110.7425,
"NLD","CPI","FOOD","IDX2015","A","2021",110.5133,
"NLD","CPI","FOOD","IDX2015","A","2022",122.3858,
"NZL","CPI","FOOD","IDX2015","A","2005",76.5038,
"NZL","CPI","FOOD","IDX2015","A","2006",78.78139,
"NZL","CPI","FOOD","IDX2015","A","2007",81.91551,
"NZL","CPI","FOOD","IDX2015","A","2008",88.82616,
"NZL","CPI","FOOD","IDX2015","A","2009",94.19895,
"NZL","CPI","FOOD","IDX2015","A","2010",95.09441,
"NZL","CPI","FOOD","IDX2015","A","2011",100.0389,
"NZL","CPI","FOOD","IDX2015","A","2012",99.31867,
"NZL","CPI","FOOD","IDX2015","A","2013",99.74693,
"NZL","CPI","FOOD","IDX2015","A","2014",100.0584,
"NZL","CPI","FOOD","IDX2015","A","2015",100,
"NZL","CPI","FOOD","IDX2015","A","2016",99.39654,
"NZL","CPI","FOOD","IDX2015","A","2017",101.5575,
"NZL","CPI","FOOD","IDX2015","A","2018",101.3135,
"NZL","CPI","FOOD","IDX2015","A","2019",102.4075,
"NZL","CPI","FOOD","IDX2015","A","2020",105.6642,
"NZL","CPI","FOOD","IDX2015","A","2021",107.5216,
"NZL","CPI","FOOD","IDX2015","A","2022",116.8336,
"NOR","CPI","FOOD","IDX2015","A","2005",81.425,
"NOR","CPI","FOOD","IDX2015","A","2006",82.55833,
"NOR","CPI","FOOD","IDX2015","A","2007",84.79166,
"NOR","CPI","FOOD","IDX2015","A","2008",88.35833,
"NOR","CPI","FOOD","IDX2015","A","2009",92.05,
"NOR","CPI","FOOD","IDX2015","A","2010",92.24167,
"NOR","CPI","FOOD","IDX2015","A","2011",92.15833,
"NOR","CPI","FOOD","IDX2015","A","2012",93.275,
"NOR","CPI","FOOD","IDX2015","A","2013",94.25833,
"NOR","CPI","FOOD","IDX2015","A","2014",97.175,
"NOR","CPI","FOOD","IDX2015","A","2015",99.98333,
"NOR","CPI","FOOD","IDX2015","A","2016",102.5583,
"NOR","CPI","FOOD","IDX2015","A","2017",102.5667,
"NOR","CPI","FOOD","IDX2015","A","2018",105.1583,
"NOR","CPI","FOOD","IDX2015","A","2019",106.275,
"NOR","CPI","FOOD","IDX2015","A","2020",109.7417,
"NOR","CPI","FOOD","IDX2015","A","2021",107.5167,
"NOR","CPI","FOOD","IDX2015","A","2022",114.5,
"POL","CPI","FOOD","IDX2015","A","2005",76.89708,
"POL","CPI","FOOD","IDX2015","A","2006",77.38295,
"POL","CPI","FOOD","IDX2015","A","2007",81.0138,
"POL","CPI","FOOD","IDX2015","A","2008",85.58623,
"POL","CPI","FOOD","IDX2015","A","2009",89.57178,
"POL","CPI","FOOD","IDX2015","A","2010",92.06113,
"POL","CPI","FOOD","IDX2015","A","2011",96.80769,
"POL","CPI","FOOD","IDX2015","A","2012",100.8319,
"POL","CPI","FOOD","IDX2015","A","2013",102.6828,
"POL","CPI","FOOD","IDX2015","A","2014",101.7026,
"POL","CPI","FOOD","IDX2015","A","2015",100,
"POL","CPI","FOOD","IDX2015","A","2016",100.9287,
"POL","CPI","FOOD","IDX2015","A","2017",105.2818,
"POL","CPI","FOOD","IDX2015","A","2018",108.0034,
"POL","CPI","FOOD","IDX2015","A","2019",113.1884,
"POL","CPI","FOOD","IDX2015","A","2020",118.38,
"POL","CPI","FOOD","IDX2015","A","2021",121.9915,
"POL","CPI","FOOD","IDX2015","A","2022",140.8294,
"PRT","CPI","FOOD","IDX2015","A","2005",88.88705,
"PRT","CPI","FOOD","IDX2015","A","2006",91.27867,
"PRT","CPI","FOOD","IDX2015","A","2007",93.51427,
"PRT","CPI","FOOD","IDX2015","A","2008",96.98907,
"PRT","CPI","FOOD","IDX2015","A","2009",93.65028,
"PRT","CPI","FOOD","IDX2015","A","2010",93.42199,
"PRT","CPI","FOOD","IDX2015","A","2011",95.38082,
"PRT","CPI","FOOD","IDX2015","A","2012",98.434,
"PRT","CPI","FOOD","IDX2015","A","2013",100.3426,
"PRT","CPI","FOOD","IDX2015","A","2014",98.99606,
"PRT","CPI","FOOD","IDX2015","A","2015",100,
"PRT","CPI","FOOD","IDX2015","A","2016",100.49,
"PRT","CPI","FOOD","IDX2015","A","2017",102.0292,
"PRT","CPI","FOOD","IDX2015","A","2018",102.7822,
"PRT","CPI","FOOD","IDX2015","A","2019",103.1059,
"PRT","CPI","FOOD","IDX2015","A","2020",105.2581,
"PRT","CPI","FOOD","IDX2015","A","2021",106.0325,
"PRT","CPI","FOOD","IDX2015","A","2022",119.8073,
"SVK","CPI","FOOD","IDX2015","A","2005",79.15242,
"SVK","CPI","FOOD","IDX2015","A","2006",80.27821,
"SVK","CPI","FOOD","IDX2015","A","2007",83.47872,
"SVK","CPI","FOOD","IDX2015","A","2008",89.87976,
"SVK","CPI","FOOD","IDX2015","A","2009",86.97395,
