region_name,region_code,reporting_year,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,spr,reporting_pop,pop_in_poverty
Eastern and Southern Africa,AFE,1993,1.9,0.5988694849552902,0.2827731224120864,0.16678997428140355,0.460270965342653,2.9858620731955705,0.6374779707709487,330606964,197990422
Eastern and Southern Africa,AFE,1994,1.9,0.6003598892880198,0.2881005431517411,0.1722949523021413,0.4740286281742977,2.927366136345097,0.6411167310599767,339275499,203687401
Eastern and Southern Africa,AFE,1995,1.9,0.5925856445990048,0.28186533733701064,0.16789845133328368,0.46275745689948716,2.9791013871190555,0.6348889096701741,348164559,206317320
Eastern and Southern Africa,AFE,1996,1.9,0.5840776274611141,0.27504256793533155,0.1632390389085633,0.4507166752269556,3.0189898463898626,0.628533686234632,357550908,208837486
Eastern and Southern Africa,AFE,1998,1.9,0.5853837799800771,0.2754214427522304,0.1640794550605066,0.45362251570806134,2.956604467600646,0.6291542025754037,376016164,220113763
Eastern and Southern Africa,AFE,1999,1.9,0.5858963634733216,0.2742373104766226,0.16362093898067093,0.4531942757629228,2.8924571329563245,0.6281955054736732,385636086,225942780
Eastern and Southern Africa,AFE,2000,1.9,0.5843250220838375,0.2753940456905944,0.16589770150410088,0.459449571326242,2.85121342439737,0.6251951121557372,395486148,231092452
Eastern and Southern Africa,AFE,2001,1.9,0.5803766050043305,0.27370905284575947,0.16499009268484632,0.457334911067626,2.8395500716135214,0.6201913161033542,405607454,235405077
Eastern and Southern Africa,AFE,2002,1.9,0.5877552992892535,0.27338443801232243,0.1629431709029665,0.45306880720256615,2.857340372451995,0.6272048982763855,416055018,244538542
Eastern and Southern Africa,AFE,2003,1.9,0.5790981229399377,0.2651947635097931,0.15661835975511304,0.4369103037915343,2.8881045860032217,0.6170593988892793,426815117,247167833
Eastern and Southern Africa,AFE,2004,1.9,0.5451176312009409,0.24667102160184318,0.14553080497608825,0.4066331131023096,3.0732976380636807,0.5937626237701272,437964437,238742136
Eastern and Southern Africa,AFE,2005,1.9,0.5254762416516395,0.23516649073798204,0.13834988689430594,0.3866582848205092,3.2364903000924667,0.5806317305567346,449491183,236196937
Eastern and Southern Africa,AFE,2006,1.9,0.5080141716835687,0.22395541251829654,0.13014754010924418,0.3640269005588821,3.452829284072244,0.5688964369824854,461478999,234437871
Eastern and Southern Africa,AFE,2007,1.9,0.496965774073722,0.21446888756621554,0.12241409723702104,0.34309812371727894,3.497507339342833,0.5601634276380781,473988603,235556113
Eastern and Southern Africa,AFE,2008,1.9,0.4873709740934616,0.20620256505544365,0.11570428840256454,0.32533327177465887,3.5503022807547957,0.5517178813793715,495748900,241613624
Eastern and Southern Africa,AFE,2009,1.9,0.4858663003592978,0.20616209213043507,0.11616194165760052,0.3262879941752366,3.5455069481087733,0.550689673190471,509410477,247505384
Eastern and Southern Africa,AFE,2010,1.9,0.4736437862986381,0.1974179059244245,0.10944305601547832,0.3082820945411909,3.649401972405467,0.5422192996910885,523459657,247933414
Eastern and Southern Africa,AFE,2011,1.9,0.4623419446158742,0.19039769035822685,0.10448879737273636,0.2951006082368217,3.694676692469212,0.5348503069234836,537792950,248644238
Eastern and Southern Africa,AFE,2012,1.9,0.45661139358968733,0.18538711202185876,0.10060740683455642,0.2851389901054002,3.7011513666706515,0.5308032387282284,552530654,252291792
Eastern and Southern Africa,AFE,2013,1.9,0.45164759245180525,0.1819279426819413,0.09809133470931539,0.2786298380697189,3.6981364910948944,0.5262064182664808,567892149,256487122
Eastern and Southern Africa,AFE,2014,1.9,0.45020656066474285,0.18141631378566725,0.09776985631022443,0.27775660666527724,3.681817705682974,0.524320759440957,583651101,262763555
Eastern and Southern Africa,AFE,2015,1.9,0.4503322605800939,0.18254283447783376,0.09862398309430064,0.27989706889105415,3.675076731828272,0.5248605708501629,600008424,270203150
Eastern and Southern Africa,AFE,2016,1.9,0.4553307874645164,0.18695787208748751,0.10193022357984,0.2883828878963691,3.6407085652777496,0.5289726868911674,616377605,280655700
Eastern and Southern Africa,AFE,2017,1.9,0.458735445468943,0.19048227477645305,0.10466387816988836,0.2953461522522712,3.6076141893773968,0.5327981783599485,632746570,290263280
Eastern and Southern Africa,AFE,2018,1.9,0.45942132832954385,0.1926898470388566,0.10651876837853208,0.2999698377455246,3.5987210600201816,0.5348931720491361,649757148,298512292
Western and Central Africa,AFW,1983,1.9,0.553801163090388,0.2562965351940113,0.15305585465272922,0.4173905048447585,2.606944740513241,0.5805589258962244,171566640,95013805
Western and Central Africa,AFW,1984,1.9,0.5598794987931524,0.26124545616714373,0.15670030910219535,0.4269436777065161,2.568010363242817,0.5877975116754173,176054495,98569302
Western and Central Africa,AFW,1985,1.9,0.5481790880353022,0.2526686309032835,0.15031706889336957,0.40919895108355075,2.6213047207810267,0.5772876191127106,180817312,99120269
Western and Central Africa,AFW,1986,1.9,0.5504176262587303,0.2575035690554861,0.154536715281137,0.4200787343094406,2.5773215696862373,0.5816809339315998,185720244,102223696
Western and Central Africa,AFW,1987,1.9,0.5587307928660917,0.26432600160618797,0.16030338375325484,0.43602335284058735,2.4737987441444913,0.5889906450234828,190759952,106583459
Western and Central Africa,AFW,1988,1.9,0.5577761993969333,0.264204056636991,0.16077960106342362,0.4367885123428521,2.417583842523444,0.5862745581942821,195969722,109307247
Western and Central Africa,AFW,1989,1.9,0.566004883958261,0.27106075149014897,0.16641841098631235,0.45168075625318876,2.39225671765641,0.5930898551967151,201392200,113988969
Western and Central Africa,AFW,1990,1.9,0.5684103712630826,0.2735848513288663,0.1688046323915728,0.4583599912669561,2.376847258077816,0.5914415440901274,206739024,117512605
Western and Central Africa,AFW,1991,1.9,0.5809582952182173,0.2818828458790603,0.1746942235481045,0.47604072726319396,2.325272519067514,0.6008731249734907,212172888,123263599
Western and Central Africa,AFW,1992,1.9,0.5868656235919889,0.2839304360283869,0.17562426039747517,0.47791471853087775,2.3070447869646804,0.604326412875166,217966101,127916812
Western and Central Africa,AFW,1993,1.9,0.5975106960644642,0.2869273658796108,0.17542491709483354,0.475521346527502,2.2904515618816554,0.6134745444632655,223788766,133716181
Western and Central Africa,AFW,1994,1.9,0.601777042190694,0.29003363802156085,0.17735531269733107,0.4801610628941285,2.301322001678025,0.6195683303807907,229675775,138213609
Western and Central Africa,AFW,1995,1.9,0.6029556461083408,0.2902798627440232,0.17715093712319654,0.47909916742777986,2.3350378054473975,0.6228715444830215,235861484,142214013
Western and Central Africa,AFW,1996,1.9,0.6018818395791837,0.2874279736547971,0.17387035030753897,0.47075102832867877,2.3788819706231927,0.6214046488308798,242200260,145775938
Western and Central Africa,AFW,1997,1.9,0.5951511506417964,0.27971911584097087,0.16720127959303177,0.4534737378954133,2.400228656830689,0.6167514062650464,248713095,148021885
Western and Central Africa,AFW,1998,1.9,0.5886418457788013,0.2715841856163295,0.15993642477591746,0.43570808138140216,2.4072966904762425,0.6107804378169861,255482918,150387936
Western and Central Africa,AFW,1999,1.9,0.5823385441485842,0.2642417619875761,0.15383090161529817,0.42042053061221646,2.4262724713653867,0.6065134085806524,262397030,152803904
Western and Central Africa,AFW,2001,1.9,0.5596906987395119,0.2446129044097921,0.13838716176925445,0.38012291862878544,2.484831886914403,0.5881299829023012,277160097.00000006,155123928
Western and Central Africa,AFW,2002,1.9,0.5343405240393074,0.2263167648130881,0.12461843588586961,0.3460885757157591,2.556705954127509,0.5648414172811834,284952322,152261573
Western and Central Africa,AFW,2003,1.9,0.5217555177275435,0.2151416105384509,0.11608739426934213,0.3252221803505074,2.5887327436656213,0.5516440503154216,292977949,152862861
Western and Central Africa,AFW,2004,1.9,0.5037228982898179,0.20211478850062023,0.10695055114881792,0.30471144064597916,2.6599217721795285,0.536238214124056,301265247,151754203
Western and Central Africa,AFW,2005,1.9,0.4921481352965142,0.19370839296630687,0.10086281374646329,0.2890660243363889,2.7140797832530486,0.5256154941673881,309824829,152479712
Western and Central Africa,AFW,2006,1.9,0.48216958683875993,0.18529769804379925,0.09447975351418733,0.272905617504519,2.7662049919646363,0.5187601780852757,318601484,153619946
Western and Central Africa,AFW,2008,1.9,0.4546280757147007,0.16439650933792474,0.07971374132856274,0.23531033701562948,2.8868348008753695,0.4994491143383225,336893835.00000006,153161396
Western and Central Africa,AFW,2009,1.9,0.44618443584903134,0.1582341105303619,0.07543940382060213,0.22436015915178434,2.9246639148622147,0.49650354417113346,346475221,154591851
Western and Central Africa,AFW,2010,1.9,0.42348183374668774,0.14427242153881778,0.06678845027606792,0.20171479342448909,3.0324237853951193,0.4818130434122812,356337762,150902569
Western and Central Africa,AFW,2011,1.9,0.4137478856872167,0.1383304185036325,0.06311117448523698,0.19208887853246362,3.071245012755576,0.47508093729040135,366489204,151634133
Western and Central Africa,AFW,2012,1.9,0.39549950103826137,0.13002362037953885,0.05886516362456788,0.18016495035550342,3.1800020153592454,0.46574675414641636,376797999,149023421
Western and Central Africa,AFW,2013,1.9,0.38167993290695107,0.12458118623727715,0.05646785647552915,0.17327960430630973,3.2686207448972633,0.4596772407550171,387204553,147788208
Western and Central Africa,AFW,2014,1.9,0.3642958818047986,0.1173092456122809,0.05291945901586938,0.1632044230344975,3.3727180478834797,0.45086750744497817,397855507,144937123
Western and Central Africa,AFW,2015,1.9,0.36413680672519916,0.11743450528098359,0.053103119098096375,0.1637787194140551,3.3791159697331485,0.4501805687628281,408690375,148819208
Western and Central Africa,AFW,2016,1.9,0.3507375208869217,0.11187279628779684,0.05005583734316098,0.1549123208212953,3.450283210703485,0.44405106537595807,419778384,147232030
Western and Central Africa,AFW,2017,1.9,0.3331415781515479,0.10496872486604818,0.04645684536215524,0.14433435637038788,3.5660115856492967,0.4358163690961357,431138704,143630228
Western and Central Africa,AFW,2018,1.9,0.3161020074899808,0.09796323160274041,0.042667034552405954,0.13348752594109958,3.6698650409527134,0.4279258591705751,442646825,139921550
Western and Central Africa,AFW,2019,1.9,0.30578964722564267,0.09390828236281833,0.04056698209826196,0.1274309780091946,3.7303057602532093,0.4230382759400468,454306063,138922091
East Asia & Pacific,EAP,1981,1.9,0.7929475005567199,0.36902974986192616,0.20558402799633868,0.568388318896638,1.6372873120828741,0.8081216317452825,1379003173,1093477119
East Asia & Pacific,EAP,1982,1.9,0.7713172648232889,0.34179197681623047,0.18408494744998605,0.5167930168195157,1.7153466794168857,0.7868610023910638,1402620426,1081865351
East Asia & Pacific,EAP,1983,1.9,0.7415126993633316,0.3088756111224274,0.15950320143226965,0.4571193143880022,1.8115266766737197,0.757280415290592,1426326165,1057638965
East Asia & Pacific,EAP,1984,1.9,0.6902455460811069,0.2616913477020907,0.1269253397723059,0.3762458355877791,1.952560563787399,0.7056676765496194,1448955289,1000134935
East Asia & Pacific,EAP,1985,1.9,0.6505920669613512,0.23840828228602096,0.11377975636408287,0.3411228972953214,2.0331355973272514,0.6655992160129097,1472229311,957820710
East Asia & Pacific,EAP,1986,1.9,0.6208427459636119,0.22407137978404562,0.1065363642358468,0.3206880038447861,2.1034010226284146,0.6362736898044102,1496975209,929386199
East Asia & Pacific,EAP,1987,1.9,0.5819101263910597,0.20604508185163894,0.09728163458710454,0.2933973481909161,2.204782029569103,0.5978352455409247,1523189747,886359538
East Asia & Pacific,EAP,1988,1.9,0.5262343044376275,0.1782278421007811,0.08184854879253137,0.2510954205598613,2.3569328813779418,0.545168124296169,1549748438,815530791
East Asia & Pacific,EAP,1989,1.9,0.6209627322114026,0.22450400676907395,0.10483327567466767,0.3169469840708776,2.2225944001294473,0.6385313025474884,1575751898,978483204
East Asia & Pacific,EAP,1990,1.9,0.603790557325941,0.21470089272007487,0.09920883346462792,0.30215754423286595,2.2930167683440197,0.6217357051078728,1601342750,966875631
East Asia & Pacific,EAP,1991,1.9,0.5847380558580486,0.20755944385835615,0.09596326992796438,0.29056613149423893,2.3781658793367777,0.6027357925550688,1626010964,950790490
East Asia & Pacific,EAP,1992,1.9,0.5561888203894659,0.19544312773539754,0.08983998241474023,0.27132494950718006,2.494453106775531,0.5743974423231175,1649361409,917356376
East Asia & Pacific,EAP,1993,1.9,0.5282155857463078,0.18395247675423865,0.08405857980152255,0.2531490946997652,2.6032772453899016,0.5472133308354625,1672056413,883206258
East Asia & Pacific,EAP,1994,1.9,0.4898419826017693,0.15767486335429023,0.06837483391206357,0.21650618115585563,2.7904051614491014,0.5161839585255303,1694530897,830052374
East Asia & Pacific,EAP,1995,1.9,0.43920366423768464,0.1366317616840084,0.057776405140167075,0.1856896089471327,2.9842707889229043,0.48964314656071256,1716439808,753866653
East Asia & Pacific,EAP,1996,1.9,0.39646521031929993,0.12003014675717359,0.04954338262791797,0.1615340512922494,3.20115430580711,0.46784816444335847,1737978733,689048104
East Asia & Pacific,EAP,1997,1.9,0.39444015667119553,0.12148053295077464,0.05086902032216848,0.16381152777296304,3.2797466520467573,0.46662513634007424,1759347988,693957496
East Asia & Pacific,EAP,1998,1.9,0.40702330136222237,0.1294656706054275,0.05536744122117516,0.1752475787045654,3.2531533978781857,0.47790924071515273,1779923043,724470153
East Asia & Pacific,EAP,1999,1.9,0.37246454752707614,0.11535508169833938,0.04881272998729972,0.15689030936128057,3.3927648486244353,0.4547870885622509,1799157886,670122528
East Asia & Pacific,EAP,2000,1.9,0.34649127277261854,0.10602757244697492,0.04453346506338148,0.14384177046126975,3.575089819649493,0.44180330271909796,1817155500,629628522
East Asia & Pacific,EAP,2001,1.9,0.3211531330040477,0.09720107199197174,0.040507354924018225,0.13133310521924102,3.793379644344588,0.42920630341041555,1834250043,589075148
East Asia & Pacific,EAP,2002,1.9,0.28454688846555193,0.08568213994397914,0.0355318183212191,0.11543659714750089,4.128364229686772,0.4114324549596287,1850618618,526587769
East Asia & Pacific,EAP,2003,1.9,0.24687393554694687,0.07010255371118085,0.027784478627327303,0.09308172906708,4.4263943562479575,0.3942997491710131,1866383766,460761506
East Asia & Pacific,EAP,2004,1.9,0.21379677274313572,0.05778010391961176,0.021871494040987028,0.07544176248884185,4.7355159800571585,0.3778856109616458,1881701418,402301690
East Asia & Pacific,EAP,2005,1.9,0.17877966685357802,0.045133640746423634,0.016577424592344566,0.057064231468258265,5.113665291957778,0.3593791058318874,1896924858,339131594
East Asia & Pacific,EAP,2006,1.9,0.17353148209703548,0.04425660344281913,0.01643920574382075,0.05608452184914871,5.390067453148687,0.3573423503141926,1911854867,331767009
East Asia & Pacific,EAP,2007,1.9,0.15384817233808773,0.038687986649177844,0.014193088812792805,0.04877719845923679,5.784083024507832,0.347953429826219,1926436167,296378683
East Asia & Pacific,EAP,2008,1.9,0.14534525154087957,0.03641238911745999,0.01337042070564872,0.045863082827573766,6.079820150931701,0.3441326574574964,1940894307,282099771
East Asia & Pacific,EAP,2009,1.9,0.12515597455688268,0.030157156171217937,0.010699580767715934,0.03753241390284977,6.5153510200660145,0.33362878459957307,1955164760,244700551
East Asia & Pacific,EAP,2010,1.9,0.106589782947802,0.024151751023696107,0.008181528623172106,0.029665344565144414,7.121748560847165,0.32478979711812384,1969306090,209907909
East Asia & Pacific,EAP,2011,1.9,0.08080214946425897,0.017353934809224505,0.005845281309206734,0.021388807656994364,7.598470489467315,0.3070041492704255,1984384894,160342565
East Asia & Pacific,EAP,2012,1.9,0.06842515630110442,0.014003128847016993,0.004567068575240625,0.017019300400673967,8.18151849022944,0.2997521081729199,2001380649,136944784
East Asia & Pacific,EAP,2013,1.9,0.03253588968225475,0.006182085157039221,0.0021142004534693325,0.007577645228831577,8.996731096240127,0.26941892181258004,2018184291,65663421
East Asia & Pacific,EAP,2014,1.9,0.02662726647266342,0.005273599884452602,0.0019120593070065662,0.006294814009329012,9.560255577733992,0.261016873462641,2034379893,54169976
East Asia & Pacific,EAP,2015,1.9,0.02080097067305334,0.004127521320075375,0.0014658873131674687,0.004966385615142019,10.170126489668,0.2492602001253648,2049871913,42639326
East Asia & Pacific,EAP,2016,1.9,0.017468453910218954,0.0033612493930758815,0.001160436283864998,0.0040524202714063585,10.74044723553475,0.24457549172733978,2065286020,36077354
East Asia & Pacific,EAP,2017,1.9,0.014847921684396014,0.0028558708039393525,9.983003826541084e-4,0.0034284867468196032,11.279633613201172,0.24222187638932696,2081031193,30898988
East Asia & Pacific,EAP,2018,1.9,0.01231848931443162,0.0023644073073200893,8.456812612247011e-4,0.002884390045833056,11.898230831193688,0.23359736431108982,2094635506,25802745
East Asia & Pacific,EAP,2019,1.9,0.009327406605740688,0.0017593469134779157,6.088052107335554e-4,0.002203021117697187,12.49847853880437,0.2235793588579202,2106501236,19648194
East Asia & Pacific,EAP,2020,1.9,0.010071228520646265,0.0020189167510789047,7.639513123510951e-4,0.002478243813735498,12.103031186457935,0.21327356750544665,2116486778,21315622
East Asia & Pacific,EAP,2021,1.9,0.010033102902996716,0.002108264078374453,8.141104089391196e-4,0.007776934092386302,12.906232388585282,0.2081269930292618,2123735448,21307656
East Asia & Pacific,EAP,2022,1.9,0.008778602725261743,0.0019108978729205886,7.614616015401318e-4,0.006995376785984066,13.069213080892247,0.20527243750737564,2129218618,18691564
Europe & Central Asia,ECA,1990,1.9,0.027982776902296367,0.009085497335665502,0.0051478627889604165,0.012684097048168787,12.711740013968228,0.22289561835463334,464024479,12984693
Europe & Central Asia,ECA,1991,1.9,0.03277156741494578,0.010174354320066073,0.0056197297520254015,0.014159346273785262,11.858941364452733,0.22807895568287825,466371005,15283709
Europe & Central Asia,ECA,1992,1.9,0.04445155514023652,0.0132265115550785,0.006837026000699273,0.018685644547709865,10.923670232787384,0.2391289883113416,467980099,20802443
Europe & Central Asia,ECA,1993,1.9,0.051290361622008014,0.01508556847444895,0.007569664432548484,0.021364034644359153,9.777531080023929,0.251062647857119,469225830,24066763
Europe & Central Asia,ECA,1994,1.9,0.06477787722608835,0.01929126091872678,0.009506414973460034,0.027250355146344437,9.36985238022268,0.26745679484677354,470074744,30450444
Europe & Central Asia,ECA,1995,1.9,0.06589789089804862,0.02089589693596903,0.010569277697618172,0.03008132193449809,10.035330117360953,0.2661884588075409,470506050,31005356
Europe & Central Asia,ECA,1996,1.9,0.06760103199744726,0.02139471606684236,0.010606016247441365,0.030702255086861682,9.46627939535174,0.26711914239095524,471067393,31844642
Europe & Central Asia,ECA,1997,1.9,0.05932958754697269,0.020171890443475476,0.01050360286787696,0.02935064844620008,9.352262757105983,0.25112618099309175,471529841,27975671
Europe & Central Asia,ECA,1998,1.9,0.06077646029693485,0.02026969872704309,0.010429237374965622,0.029309540271187796,9.407585194381276,0.2527957563103525,471716867,28669281
Europe & Central Asia,ECA,1999,1.9,0.07951545929514126,0.02417507638083756,0.01126034935932484,0.033736672394852174,8.201307051321603,0.2705143777152591,471541889,37494870
Europe & Central Asia,ECA,2000,1.9,0.07478801812173792,0.022793416590083274,0.010228981956145364,0.03183143161080389,8.6761946057179955,0.26532414764393597,471069157,35230329
Europe & Central Asia,ECA,2001,1.9,0.06621385226677132,0.01930139033752584,0.008359503310157907,0.026516784386002645,9.131041622812564,0.2544932968343608,470536127,31156010
Europe & Central Asia,ECA,2002,1.9,0.05733555834906249,0.015791633904006445,0.0064457147324772646,0.021059494877109907,9.718461722853483,0.2437056630034492,470077441,26952153
Europe & Central Asia,ECA,2003,1.9,0.05809506822006242,0.017601789841368915,0.007712789094816925,0.024180504911985486,10.325485056478069,0.2447584719868403,470069206,27308703
Europe & Central Asia,ECA,2004,1.9,0.03803099278344798,0.009962828091278153,0.004093117343451314,0.013370922336695292,11.272722523054291,0.23091953149715325,470297530,17885882
Europe & Central Asia,ECA,2005,1.9,0.030384154255058263,0.0077490453841857765,0.0031540058928758072,0.010303470835371663,12.017994905186924,0.22142150412123832,470610837,14299112
